800CD3D0 alSndpSetVol
800CD430 alSeqpLoop
800CD470 memcpy
800CD49C strlen
800CD4C4 strchr
800CD510 osCreateMesgQueue
800CD540 osInvalICache
800CD5C0 osInvalDCache
800CD670 alSynSetFXMix
800CD710 alSaveParam
800CD744 alSavePull
800CD7D0 alSynRemovePlayer
800CDAD0 __osSiDeviceBusy
800CDB00 __osSpDeviceBusy
800CDB30 osJamMesg
800CDC80 osSetThreadPri
800CDD60 osGetThreadPri
800CDD80 osViSwapBuffer
800CDDD0 guPositionF
800CDF80 guFrustum
800CDFF0 osEPiRawStartDma
800CE220 osSpTaskYielded
800CE2A0 alSndpDeallocate
800CE2F0 osGetTime
800CE380 __osTimerServicesInit
800CE40C __osTimerInterrupt
800CE584 __osSetTimerIntr
800CE5F8 __osInsertTimer
800CE780 guRotateF
800CE914 guAlign
800CE970 __osSetGlobalIntMask
800CE9C0 osAiSetFrequency
800CEB20 __osContAddressCrc
800CEBD0 __osContDataCrc
800CECA0 guNormalize
800CED30 __osSetCompare
800CED40 alCopy
800CEDC0 _bcopy
800CF0D0 __osResetGlobalIntMask
800CF130 osPfsDeleteFile
800CF410 __osPfsReleasePages
800CF658 __osBlockSum
800CF750 __osDisableInt
800CF770 __osRestoreInt
800CF790 __osViInit
800CF8D0 __osViSwapContext
800CFC30 osPiGetCmdQueue
800CFC48 MusPtrBankGetCurrent
800CFC60 cosf
800CFDD0 osViSetSpecialFeatures
800CFF90 osViSetEvent
800D0000 alSndpSetPan
800D0060 alSynAddPlayer
800D00B0 osPfsNumFiles
800D0200 n_alSeqpGetState
800D0210 alSndpGetState
800D0230 __osSetFpcCsr
800D0240 osPfsFileState
800D0530 osPfsInitPak
800D07D0 __osPfsGetStatus
800D08B4 __osPfsRequestOneChannel
800D0974 __osPfsGetOneChannelData
800D0A10 osPfsChecker
800D10D4 corrupted_init
800D1288 corrupted
800D1470 osAiGetLength
800D1480 alSeqpPlay
800D14B0 osPfsGetLabel
800D1570 osEPiRawReadIo
800D1710 osMapTLBRdb
800D1770 osYieldThread
800D17C0 guTranslateF
800D1808 guTranslate
800D1860 alCents2Ratio
800D18B0 alSynStartVoiceParams
800D19A0 __osContRamWrite
800D1BA4 contramwrite_text_0204
800D1D00 osEPiRawWriteIo
800D1E90 osSetTimer
800D1F70 xldtob_text_0000
800D24E0 _Ldtob
800D2A30 lldiv
800D2B30 ldiv
800D2BC0 _Litob
800D2E60 __osSiRawWriteIo
800D2EB0 osDpSetNextBuffer
800D2F60 __osDpDeviceBusy
800D2F90 __osSpSetStatus
800D2FA0 __osSpGetStatus
800D2FB0 osWritebackDCacheAll
800D2FE0 alHeapDBAlloc
800D3040 __osContRamRead
800D325C contramread_text_021C
800D33A0 osStartThread
800D34F0 alSynAllocFX
800D35A0 osCreateViManager
800D3900 __osGetActiveQueue
800D3910 alSndpAllocate
800D39B0 alSynStopVoice
800D3A30 alSynDelete
800D3A40 guAlignF
800D3C50 osAiSetNextBuffer
800D3D00 __osAiDeviceBusy
800D3D30 osViGetCurrentFramebuffer
800D3D70 __osSpSetPc
800D3DB0 rspbootTextStart
800DA040 alGlobals
800DA070 __osThreadTail
800DA078 __osRunQueue
800DA07C __osActiveQueue
800DA080 __osRunningThread
800DA090 __osContinitialized
800DA0A0 __osSiAccessQueueEnabled
800DA0B0 osClockRate
800DA0B4 osClockRate
800DA0B8 osViClock
800DA0C0 __OSGlobalIntMask
800DA0D0 __osMotorinitialized
800DA0F0 osViModeTable
800DAE10 drvrNew_data_0000
800DAE78 drvrNew_data_0068
800DAF00 drvrNew_data_00F0
800DAF28 drvrNew_data_0118
800DAF50 drvrNew_data_0140
800DAF78 drvrNew_data_0168
800DAFA0 env_data_0000
800DB09E env_data_00FE
800DB0E0 __osPiDevMgr
800DB0E8 player_bss_003C
800DB0F0 __osPiDevMgr
800DB0FC __osPiTable
800DB100 __osCurrentHandle
800DB110 __osPiAccessQueueEnabled
800DB120 random_data_0000
800DB130 xprintf_data_0000
800DB180 __osTimerList
800DB190 vi_data_0000
800DB1F0 __osActiveQueue
800DB1F4 __osViNext
800DB200 osViModePalLan1
800DB250 osViModeNtscLan1
800DB2A0 osViModeMpalLan1
800DB2F0 xlitob_data_0000
800DB304 xlitob_data_0014
800DB320 __osViDevMgr
800DB330 __osViDevMgr
800DB340 aisetnextbuf_data_0000
800DF830 sinf_rodata_0000
800DF858 sinf_rodata_0028
800DF860 sinf_rodata_0030
800DF868 sinf_rodata_0038
800DF910 __osRcpImTable
800DFBD0 seq_rodata_0000
800DFBD8 seq_rodata_0008
800DFBE0 perspective_rodata_0000
800DFC10 synthesizer_rodata_0000
800DFC18 synthesizer_rodata_0008
800DFC20 drvrNew_rodata_0000
800DFC38 drvrNew_rodata_0018
800DFC40 reverb_rodata_0000
800DFC60 reverb_rodata_0020
800DFC80 env_rodata_0010
800DFCD0 resample_rodata_0000
800DFCF8 resample_rodata_0028
800DFD00 resample_rodata_0030
800DFD10 devmgr_rodata_0000
800DFD3C xprintf_rodata_000C
800DFE30 position_rodata_0000
800DFE40 rotate_rodata_0000
800DFE50 cosf_rodata_0000
800DFE78 cosf_rodata_0028
800DFE80 cosf_rodata_0030
800DFE88 cosf_rodata_0038
800DFEA0 __libm_qnan_f
800DFEB0 cents2ratio_rodata_0000
800DFEC0 xldtob_rodata_0000
800DFF08 xldtob_rodata_0048
800DFF0C xldtob_rodata_004C
800DFF18 xldtob_rodata_0058
800DFF20 align_rodata_0000
801453E0 __osContPifRam
80145420 __osContLastCmd
80145421 __osMaxControllers
80145460 __osEepromTimerMsg
80145478 __osSiAccessQueue
80145650 _MotorStopData
80145750 _MotorStartData
80145850 _motorstopbuf
80145870 _motorstartbuf
80145890 __osPfsPifRam
801458CC __osPfsPifRam
80146AC0 pimgr_bss_11B0
80146AD8 pimgr_bss_11C8
80146AE0 CartRomHandle
80146AE4 CartRomHandle
80146AE5 CartRomHandle
80146AE6 CartRomHandle
80146AE8 CartRomHandle
80146AE9 CartRomHandle
80146AEC CartRomHandle
80146B80 __osEventStateTab
80146C00 LeoDiskHandle
80146C04 LeoDiskHandle
80146C05 LeoDiskHandle
80146C06 LeoDiskHandle
80146C07 LeoDiskHandle
80146C08 LeoDiskHandle
80146C09 LeoDiskHandle
80146C0C LeoDiskHandle
80146C74 __osDiskHandle
80146C80 position_bss_0000
80146CB4 __osCurrentTime
80146CB8 __osBaseCounter
80146CBC __osViIntrCount
80146CC0 __osTimerCounter
80146CD0 rotate_bss_0000
80147EA8 vimgr_bss_11C8
80147EC0 vimgr_bss_11E0
80147ED8 vimgr_bss_11F8
80147F00 align_bss_0000
